Word,Furigana,Meaning,Level
独房,どくぼう,독방,N1
冷房,れいぼう,냉방,N1
暖房,だんぼう,난방,N1
乳,にゅう,,N1
房,ぼう,유방,N1
乳,ち,,N1
房,ぶさ,유방,N1
撤去,てっきょ,철거,N1
撤回,てっかい,철회,N1
撤廃,てっぱい,철폐,N1
削除,さくじょ,삭제,N1
削減,さくげん,삭감,N1
添削,てんさく,첨삭,N1
秘,ひ,,N1
密,みつ,비밀,N1
密談,みつだん,밀담,N1
密約,みつやく,밀약,N1
密,みつ,,N1
度,ど,밀도,N1
密林,みつりん,밀림,N1
密,みっ,,N1
集,しゅう,밀집,N1
密接,みっせつ,밀접,N1
措置,そち,조치,N1
搭載,とうさい,탑재,N1
掲載,けいさい,게재,N1
記,き,,N1
載,さい,기재,N1
連載,れんさい,연재,N1
陣形,じんけい,진형,N1
陣営,じんえい,진영,N1
本陣,ほんじん,본진,N1
自我,じが,자아,N1
彼我,ひが,피아,N1
我,が,,N1
慢,まん,참음/자제,N1
無我,むが,무아,N1
我々,われわれ,우리(들),N1
我,わ,が,N1
家,や,우리집/내집,N1
行,こう,,N1
為,い,행위,N1
人,じん,,N1
為,い,인위,N1
作,さく,,N1
為,い,작위,N1
為,い,,N1
政者,せいしゃ,위정자,N1
抑圧,よくあつ,억압,N1
抑制,よくせい,억제,N1
抑揚,よくよう,억양,N1
抑,よく,,N1
止,し,,N1
力,りょく,억지력,N1
開幕,かいまく,개막,N1
閉幕,へいまく,폐막,N1
煙幕,えんまく,연막,N1
黒幕,くろまく,흑막,N1
幕,ばく,,N1
府,ふ,막부,N1
染,せん,,N1
色,しょく,염색,N1
染,せん,,N1
料,りょう,염료,N1
汚,お,,N1
染,せん,오염,N1
伝染,でんせん,전염,N1
奈良,なら,,N1
県,けん,나라 현,N1
奈,な,,N1
落,らく,나락/지옥,N1
負,ふ,,N1
傷,しょう,부상,N1
重傷,じゅうしょう,중상,N1
軽,けい,,N1
傷,しょう,경상,N1
軽,かる,い,N1
傷,きず,가벼운 상처,N1
心,こころ,が,N1
痛,いた,む 마음이 아프다,N1
足,あし,を,N1
痛,いた,める 발을 다치다,N1
選択,せんたく,선택,N1
採択,さいたく,채택,N1
択一,たくいつ,택일,N1
優,ゆう,,N1
秀,しゅう,우수,N1
秀,しゅう,,N1
才,さい,수재,N1
秀,しゅう,,N1
作,さく,수작,N1
語,ご,,N1
学,がく,に,N1
秀,ひい,でる 어학에 뛰어나다,N1
象徴,しょうちょう,상징,N1
特,とく,,N1
徴,ちょう,특징,N1
徴,ちょう,,N1
候,こう,징후,N1
徴,ちょう,,N1
兵,へい,징병,N1
弾,だん,,N1
力,りょく,탄력,N1
弾性,だんせい,탄성,N1
弾丸,だんがん,탄환,N1
弾薬,だんやく,탄약,N1
補,ほ,,N1
償,しょう,보상,N1
賠,ばい,,N1
償,しょう,배상,N1
償,しょう,,N1
還,かん,상환,N1
損失,そんしつ,を,N1
償,つぐな,う 손실을 배상하다,N1
功績,こうせき,공적,N1
成功,せいこう,성공,N1
功労,こうろう,공로,N1
功,く,,N1
徳,どく,공덕,N1
拠点,きょてん,거점,N1
占拠,せんきょ,점거,N1
根拠,こんきょ,근거,N1
証,しょう,,N1
拠,こ,증거,N1
秘,ひ,,N1
密,みつ,비밀,N1
神,しん,,N1
秘,ぴ,신비,N1
秘,ひ,,N1
訣,けつ,비결,N1
拒,きょ,,N1
否,ひ,거부,N1
拒絶,きょぜつ,거절,N1
要,よう,,N1
求,きゅう,を,N1
拒,こば,む 요구를 거부하다,N1
刑罰,けいばつ,형벌,N1
死,し,,N1
刑,けい,사형,N1
処刑,しょけい,처형,N1
塚穴,つかあな,시체를 묻는 구덩이,N1
貝塚,かいづか,패총(조개무지),N1
極,きょく,,N1
致,ち,극치,N1
一,いっ,,N1
致,ち,일치,N1
合,がっ,,N1
致,ち,합치,N1
誘,ゆう,,N1
致,ち,유치,N1
拉致,らち,납치,N1
致,ち,,N1
命的,めいてき,치명적,N1
尾,び,,N1
行,こう,미행,N1
末,まつ,,N1
尾,び,말미,N1
交,こう,,N1
尾,び,교미,N1
尾,お,도마뱀의 꼬리,N1
描,びょう,,N1
写,しゃ,묘사,N1
素,そ,,N1
描,びょう,소묘,N1
描,えが,く로 씀,N1
銀鈴,ぎんれい,은방울,N1
電鈴,でんれい,전령(벨),N1
風鈴,ふうりん,풍령,N1
呼,よ,び,N1
鈴,りん,초인종,N1
鈴,すず,방울,N1
鈴虫,すずむし,방울벌레,N1
円盤,えんばん,원반,N1
羅,ら,,N1
針盤,しんばん,나침반,N1
序盤,じょばん,초반,N1
中,ちゅう,,N1
盤,ばん,중반,N1
終,しゅう,,N1
盤,ばん,종반,N1
碁,ご,,N1
盤,ばん,바둑판,N1
項目,こうもく,항목,N1
事,じ,,N1
項,こう,사항,N1
条,じょう,,N1
項,こう,조항,N1
喪失,そうしつ,상실,N1
喪,そう,,N1
家,か,상가(초상집),N1
喪,も,,N1
主,しゅ,상주,N1
喪,も,,N1
服,ふく,상복,N1
同伴,どうはん,동반,N1
伴侶,はんりょ,반려,N1
伴奏,ばんそう,반주,N1
養成,ようせい,양성,N1
栄養,えいよう,영양,N1
養育,よういく,양육,N1
一,いっ,,N1
生,しょう,,N1
懸命,けんめい,열심히 함,N1
懸垂幕,けんすいまく,현수막,N1
懸,けん,,N1
賞,しょう,,N1
金,きん,현상금,N1
懸,け,,N1
念,ねん,괘념/걱정/근심,N1
懸,け,,N1
想,そう,사모/연모,N1
市,し,,N1
街,がい,,N1
地,ち,시가지,N1
地下,ちか,,N1
街,がい,지하 상가,N1
街頭,がいとう,가두,N1
街道,かいどう,가도,N1
活,かっ,,N1
気,き,のある,N1
夜,よる,の,N1
街,まち,활기찬 밤의 번화가,N1
契約,けいやく,계약,N1
契,けい,,N1
機,き,계기,N1
黙契,もっけい,묵계,N1
二,に,,N1
世,せい,を,N1
契,ちぎ,る 부부의 인연을 맺다,N1
掲,けい,,N1
示,じ,게시,N1
掲載,けいさい,게재,N1
掲揚,けいよう,게양,N1
跳,ちょう,,N1
躍,やく,도약,N1
躍進,やくしん,약진,N1
躍動,やくどう,약동,N1
棄,き,,N1
権,けん,기권,N1
棄,き,,N1
却,きゃく,기각,N1
廃,はい,,N1
棄,き,폐기,N1
遺棄,いき,유기,N1
邸宅,ていたく,저택,N1
私,し,,N1
邸,てい,사저,N1
官邸,かんてい,관저,N1
戸,こ,,N1
籍,せき,호적,N1
本籍,ほんせき,본적,N1
国籍,こくせき,국적,N1
書籍,しょせき,서적,N1
縮小,しゅくしょう,축소,N1
短,たん,,N1
縮,しゅく,단축,N1
圧,あっ,,N1
縮,しゅく,압축,N1
還元,かんげん,환원,N1
生還,せいかん,생환,N1
帰,き,,N1
還,かん,귀환,N1
所属,しょぞく,소속,N1
属性,ぞくせい,속성,N1
従,じゅう,,N1
属,ぞく,종속,N1
