Word,Furigana,Meaning,Level
宗派,しゅうは,종파,etc
禅宗,ぜんしゅう,선종,etc
宗主,そうしゅ,종주,etc
宗家,そうけ,종가,etc
促進,そくしん,촉진,N1
催促,さいそく,재촉,N2
慎重,しんちょう,신중,N2
謹慎,きんしん,근신,etc
控除,こうじょ,공제,N1
控訴,こうそ,공소,etc
握力,あくりょく,악력,etc
握手,あくしゅ,악수,N3
掌握,しょうあく,장악,etc
把握,はあく,파악,N1
俊秀,しゅんしゅう,준수,etc
俊才,しゅんさい,준재,etc
俊敏,しゅんびん,준민(머리가 날카롭고 날렵함),etc
金銭,きんせん,금전,N2
銭湯,せんとう,대중 목욕탕,etc
小銭,こぜに,잔돈/적은 돈,N1
渋滞,じゅうたい,삽체(정체/밀림),N2
難渋,なんじゅう,난삽(일이 정체됨),etc
銃弾,じゅうだん,총탄,etc
銃砲,じゅうほう,총포,etc
拳銃,けんじゅう,권총,etc
携帯,けいたい,휴대,N3
提携,ていけい,제휴,N1
診察,しんさつ,진찰,N3
診断,しんだん,진단,N2
委託,いたく,위탁,N1
請託,せいたく,청탁,etc
託児所,たくじしょ,탁아소,etc
撮影,さつえい,촬영,N2
誕生,たんじょう,탄생,N3
誕生日,たんじょうび,생일,N5
侵入,しんにゅう,침입,N2
侵害,しんがい,침해,etc
侵略,しんりゃく,침략,N1
一括,いっかつ,일괄,N1
括弧,かっこ,괄호,N2
包括,ほうかつ,포괄,etc
総括,そうかつ,총괄,etc
統括,とうかつ,통괄,etc
感謝,かんしゃ,감사,N3
謝礼,しゃれい,사례,etc
謝罪,しゃざい,사죄,N1
孝行,こうこう,효행,N3
孝子,こうし,효자,etc
不孝,ふこう,불효,etc
先駆者,せんくしゃ,선구자,etc
駆除,くじょ,구제(쫓아내 없앰),etc
駆逐,くちく,구축(몰아서 쫓아냄),N1
透明,とうめい,투명,N2
透写,とうしゃ,투사,etc
透視,とうし,투시,etc
浸透,しんとう,침투,etc
興味津々,きょうみしんしん,흥미진진,etc
津波,つなみ,쓰나미,N1
津々浦々,つつうらうら,방방곡곡,etc
水稲,すいとう,논벼,etc
陸稲,りくとう,밭벼,etc
稲刈り,いねかり,벼 베기,etc
稲穂,いなほ,벼 이삭,etc
稲作,いなさく,벼농사,etc
破裂,はれつ,파열,N1
分裂,ぶんれつ,분열,etc
亀裂,きれつ,균열,etc
鋭敏,えいびん,예민,etc
敏感,びんかん,민감,N1
過敏,かびん,과민,N1
是認,ぜにん,시인,etc
是正,ぜせい,시정,N1
是非,ぜひ,시비(옳고 그름)/반드시/꼭,N3
排斥,はいせき,배척,etc
排除,はいじょ,배제,N1
排水,はいすい,배수,N1
排他,はいた,배타,etc
裕福,ゆうふく,유복,etc
富裕,ふゆう,부유,etc
余裕,よゆう,여유,N2
堅固,けんご,견고,etc
堅実,けんじつ,견실,N2
翻訳,ほんやく,번역,N3
通訳,つうやく,통역,N3
芝生,しばふ,잔디밭,N2
要綱,ようこう,요강,etc
大綱,たいこう,대강,etc
綱引き,つなひき,줄다리기,etc
経典,きょうてん,경전,etc
古典,こてん,고전,N2
原典,げんてん,원전,N1
典型,てんけい,전형,N2
年賀状,ねんがじょう,연하장,N3
祝賀,しゅくが,축하,N1
顧慮,こりょ,고려,etc
回顧,かいこ,회고,etc
顧問,こもん,고문(상담을 받고 의견을 말해주는 사람),etc
訴訟,そしょう,소송,N1
警戒,けいかい,경계,N1
戒律,かいりつ,계율,etc
福祉,ふくし,복지,N1
名誉,めいよ,명예,N1
栄誉,えいよ,영예,etc
歓迎,かんげい,환영,N2
歓声,かんせい,환성,N1
歓喜,かんき,환희,etc
演奏,えんそう,연주,N3
伴奏,ばんそう,반주,N1
勧誘,かんゆう,권유,N1
勧奨,かんしょう,권장,etc
騒動,そうどう,소동,N1
騒音,そうおん,소음,N3
物騒,ぶっそう,어수선함/뒤숭숭함,N2
門閥,もんばつ,문벌,etc
財閥,ざいばつ,재벌,etc
派閥,はばつ,파벌,etc
学閥,がくばつ,학벌,etc
甲乙,こうおつ,갑을,etc
甲殻,こうかく,갑각,etc
甲板,かんぱん,간판,etc
甲高い,かんだかい,(목소리가) 새되다,etc
自縄自縛,じじょうじばく,자승자박,etc
縄文時代,じょうもんじだい,죠몬 시대,etc
縄跳び,なわとび,줄넘기,etc
縄張り,なわばり,세력권,etc
郷土,きょうど,향토,N1
故郷,こきょう,고향,N3
郷愁,きょうしゅう,향수(고향을 그리워하는 마음),N1
在郷,ざいごう,재향,etc
本郷,ほんごう,본향(고향),etc
動揺,どうよう,동요,N1
揺れる,ゆれる,흔들리다(정신적/물질적인 흔들림),N4
揺ゆらぐ,ゆらぐ,흔들리다(주로 정신적인 흔들림),etc
揺さぶる,ゆさぶる,흔들다,N1
免疫,めんえき,면역,N2
免許,めんきょ,면허,N3
免除,めんじょ,면제,N1
免税,めんぜい,면세,N3
既婚,きこん,기혼,N1
既成,きせい,기성,etc
推薦,すいせん,추천,N2
自薦,じせん,자천,etc
勧める,すすめる,권하다/권고하다/권유하다,N3
薦める,すすめる,추천하다,etc
隣接,りんせつ,인접,N1
隣国,りんごく,이웃나라,etc
豪華,ごうか,호화,N2
華麗,かれい,화려,etc
栄華,えいが,영화,etc
法華経,ほけきょう,법화경,etc
