Word,Furigana,Meaning,Level
考慮,こうりょ,고려,N1
配慮,はいりょ,배려,N1
枠,わく,테두리/틀,N1
窓枠,まどわく,"창틀",N1
露出,ろしゅつ,노출,N1
露店,ろてん,노점,N1
露骨,ろこつ,노골,N1
披露,ひろう,피로/공표함/펴 보임,N1
露,つゆ,이슬,N1
夜露,よつゆ,밤이슬,N1
沖天,ちゅうてん,충천,N1
沖縄県,おきなわけん,오키나와 현,N1
緩急,かんきゅう,완급,N1
緩和,かんわ,완화,N1
緩慢,かんまん,완만,N1
需要,じゅよう,수요,N1
必需品,ひつじゅひん,필수품,N1
射撃,しゃげき,사격,N1
発射,はっしゃ,발사,N1
注射,ちゅうしゃ,주사,N1
購入,こうにゅう,구입,N1
購買,こうばい,구매,N1
購読,こうどく,구독,N1
指揮,しき,지휘,N1
発揮,はっき,발휘,N1
揮発,きはつ,휘발,N1
充電,じゅうでん,충전,N1
充実,じゅうじつ,충실,N1
補充,ほじゅう,보충,N1
痕跡,こんせき,흔적,N1
追跡,ついせき,추적,N1
奇跡,きせき,기적,N1
遺跡,いせき,유적,N1
足跡,あしあと,발자취/종적,N1
跡継ぎ,あとつぎ,후계자/대를 이을 아들,N1
貢献,こうけん,공헌,N1
年貢,ねんぐ,연공/소작료,N1
鹿,しか,사슴,N1
馬鹿,ばか,바보,N1
却下,きゃっか,각하,N1
退却,たいきゃく,퇴각,N1
売却,ばいきゃく,매각,N1
棄却,ききゃく,기각,N1
端正,たんせい,단정,N1
末端,まったん,말단,N1
先端,せんたん,첨단,N1
片端,かたはし,한쪽 끝,N1
中途半端,ちゅうとはんぱ,어중간함/흐지부지,N1
川端,かわばた,강가,N1
獲得,かくとく,획득,N1
捕獲,ほかく,포획,N1
郡役所,ぐんやくしょ,군청,N1
併行,へいこう,병행,N1
併合,へいごう,병합,N1
合併,がっぺい,합병,N1
併用,へいよう,병용,N1
徹底,てってい,철저,N1
徹夜,てつや,철야,N1
貫徹,かんてつ,관철,N1
貴重,きちょう,귀중,N1
尊貴,そんき,존귀,N1
貴族,きぞく,귀족,N1
衝撃,しょうげき,충격,N1
衝突,しょうとつ,충돌,N1
衝動,しょうどう,충동,N1
焦点,しょうてん,초점,N1
焦燥,しょうそう,초조,N1
奪取,だっしゅ,탈취,N1
争奪,そうだつ,쟁탈,N1
奪還,だっかん,탈환,N1
略奪,りゃくだつ,약탈,N1
剝奪,はくだつ,박탈,N1
強奪,ごうだつ,강탈,N1
災害,さいがい,재해,N1
災難,さいなん,재난,N1
災い,わざわい,재앙/재난/화,N1
浦辺,うらべ,바닷가/해변,N1
浦風,うらかぜ,갯바람,N1
津々浦々,つつうらうら,방방곡곡,N1
分析,ぶんせき,분석,N1
解析,かいせき,해석,N1
譲歩,じょうほ,양보,N1
譲渡,じょうと,양도,N1
謙譲,けんじょう,겸양,N1
称賛,しょうさん,칭찬,N1
名称,めいしょう,명칭,N1
称号,しょうごう,칭호,N1
愛称,あいしょう,애칭,N1
納入,のうにゅう,납입,N1
