Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
滞,"[""머무르다"", ""막히다""]","[""タイ""]","[""とどこお(る)""]","[""막힐 체""]",N1
微,"[""미세한"", ""작은""]","[""ビ""]",[],"[""작을 미""]",N1
隆,"[""높이 오르다"", ""번성하다""]","[""リュウ""]",[],"[""높을 륭""]",N1
症,"[""증상"", ""증세""]","[""ショウ""]",[],"[""증세 증""]",N1
暫,"[""잠깐""]","[""ザン""]",[],"[""잠깐 잠""]",N1
忠,"[""충성스러운""]","[""チュウ""]",[],"[""충성 충""]",N1
倉,"[""창고"", ""곳간""]","[""ソウ""]","[""くら""]","[""곳집 창""]",N1
肝,"[""간"", ""중요한""]","[""カン""]","[""きも""]","[""간 간""]",N1
喚,"[""부르다"", ""외치다""]","[""カン""]",[],"[""부를 환""]",N1
沿,"[""(물/흐름 등을) 따라가다""]","[""エン""]","[""そ(う)""]","[""물 따라갈 연""]",N1
妙,"[""묘하다"", ""신묘하다"", ""아름답다""]","[""ミョウ""]",[],"[""묘할 묘""]",N1
唱,"[""소리내 읽다"", ""노래를 부르다""]","[""ショウ""]","[""とな(える)""]","[""부를 창""]",N1
索,"[""찾다""]","[""サク""]",[],"[""찾을 색""]",N1
誠,"[""진심의"", ""성실한""]","[""セイ""]","[""まこと""]","[""정성 성""]",N1
襲,"[""습격하다"", ""세습하다""]","[""シュウ""]","[""おそ(う)""]","[""엄습할 습""]",N1
懇,"[""간절하다""]","[""コン""]","[""ねんご(ろ)""]","[""간절할 간""]",N1
俳,"[""배우"", ""광대""]","[""ハイ""]",[],"[""배우 배""]",N1
柄,"[""자루"", ""손잡이"", ""성질/상태""]","[""ヘイ""]","[""がら、え""]","[""자루 병""]",N1
驚,"[""놀라다""]","[""キョウ""]","[""おどろ(く)、おどろ(かす)""]","[""놀랄 경""]",N1
麻,"[""삼베"", ""마비""]","[""マ""]","[""あさ""]","[""삼 마""]",N1
剤,"[""약"", ""약을 조제하다""]","[""ザイ""]",[],"[""약제 제""]",N1
